Tipo de Publicacion,Tipo de Propiedad,Direccion,Numero de Piezas,Numero de Banos,M2 Utiles,M2 Totales,Precio en Pesos,Precio en UF,Fecha de Publicacion,Fecha de Extraccion,Lat,Lng,Estacionamiento Incluido,Bodega,Condicion,Codigo,Url
venta,departamento,"Nuestra Señora Del Rosario, Parque Arauco, Las Condes",3.0,3.0,135.0,140.0,284989200.0,10000.0,2019-07-02,2020-03-06,-33.3959007,-70.5636978,False,,Usado,3512753,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/3512753-nuestra-senora-del-rosario-uda#position=8&type=item&tracking_id=82a01291-5f92-425f-a227-23baf0ec2a65
venta,departamento,"Lado Omnium Apoquindo, Metro Escuela Militar, Las Condes",3.0,2.0,74.0,80.0,170993520.0,6000.0,2020-02-13,2020-03-06,-33.413517,-70.5832512,True,,Usado,5272386,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5272386-lado-omnium-apoquindo-uda#position=9&type=item&tracking_id=82a01291-5f92-425f-a227-23baf0ec2a65
venta,departamento,"Av. Apoquindo / Napoleon, Barrio El Golf, Las Condes",3.0,3.0,181.0,,306363390.0,10750.0,2020-01-09,2020-03-06,-33.4184287,-70.5976225,False,,Usado,5339416,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5339416-av-apoquindonapoleon-uda#position=11&type=item&tracking_id=82a01291-5f92-425f-a227-23baf0ec2a65
venta,departamento,"Magdalena / Isidora Goyenechea (2 Estaci, Barrio El Golf, Las Condes",3.0,3.0,118.0,139.0,290688984.0,10200.0,2019-12-19,2020-03-06,-33.4133987,-70.5930023,True,,Usado,5297002,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5297002-magdalena-isidora-goyenechea-2-estaci-uda#position=12&type=item&tracking_id=82a01291-5f92-425f-a227-23baf0ec2a65
venta,departamento,"Sebastián Elcano 1558 - Departamento 408, Las Condes",3.0,2.0,95.06,95.06,196642548.0,6900.0,2020-02-26,2020-03-06,-33.4252396,-70.5700607,True,,Usado,5458619,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5458619-sebastian-elcano-1558-departamento-408-uda#position=13&type=item&tracking_id=82a01291-5f92-425f-a227-23baf0ec2a65
venta,departamento,"Cercano A Metros Manquehue, Escuela M; (con Sebastian Elcano / Cristóbal Colon), Las Condes",3.0,3.0,98.0,113.0,235000000.0,0,2019-11-08,2020-03-06,-33.419342,-70.5715332,True,,Usado,5187585,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5187585-cercano-a-metros-manquehue-escuela-m-con-sebastian-elcano-cristobal-colon-uda#position=15&type=item&tracking_id=82a01291-5f92-425f-a227-23baf0ec2a65
venta,departamento,"Plaza La Concordia, Las Condes, Las Condes",3.0,3.0,73.0,76.0,190000000.0,0,2020-01-09,2020-03-06,-33.4279154,-70.5698127,False,,Usado,5333097,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5333097-plaza-la-concordia-las-condes-uda#position=16&type=item&tracking_id=82a01291-5f92-425f-a227-23baf0ec2a65
venta,departamento,"Colón, Rotonda Atenas, Las Condes",3.0,3.0,107.0,,250790496.0,8800.0,2019-12-03,2020-03-06,-33.4181742,-70.5526795,True,,Usado,5253357,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5253357-colon-uda#position=17&type=item&tracking_id=82a01291-5f92-425f-a227-23baf0ec2a65
venta,departamento,"Centro Financiero De Santiago - Club De, Barrio El Golf, Las Condes",3.0,3.0,124.0,144.0,270739740.0,9500.0,2019-07-28,2020-03-06,-33.4123001,-70.5983963,True,,Usado,4425819,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/4425819-centro-financiero-de-santiago-club-de-uda#position=18&type=item&tracking_id=82a01291-5f92-425f-a227-23baf0ec2a65
venta,departamento,"Metro Alcántara / Renato Sanchez, Barrio El Golf, Las Condes",3.0,3.0,120.0,140.0,270739740.0,9500.0,2020-02-14,2020-03-06,-33.4179001,-70.5868988,True,,Usado,5426326,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5426326-metro-alcantara-renato-sanchez-uda#position=19&type=item&tracking_id=82a01291-5f92-425f-a227-23baf0ec2a65
venta,departamento,"***av. Las Condes *** Sin Comisión *** Gran Vista, Mall Sport, Las Condes",3.0,3.0,140.0,160.0,327737580.0,11500.0,2020-02-03,2020-03-06,-33.3706964,-70.5062333,True,,Usado,5402093,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5402093-av-las-condes-sin-comision-gran-vista-uda#position=20&type=item&tracking_id=82a01291-5f92-425f-a227-23baf0ec2a65
venta,departamento,"Manquehue / Alonso De Camargo, Rotonda Atenas, Las Condes",3.0,3.0,139.0,173.0,313488120.0,11000.0,2020-01-28,2020-03-06,-33.4208256,-70.5642732,True,,Usado,5389572,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5389572-manquehuealonso-de-camargo-uda#position=21&type=item&tracking_id=82a01291-5f92-425f-a227-23baf0ec2a65
venta,departamento,"Colegio Lincoln / Instituto Hebreo / Av. La Dehesa / Lider, Las Condes",3.0,2.0,95.0,105.0,227991360.0,8000.0,2019-08-16,2020-03-06,-33.3695641,-70.5120087,True,,Usado,5012256,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5012256-colegio-lincoln-instituto-hebreo-av-la-dehesa-lider-uda#position=22&type=item&tracking_id=82a01291-5f92-425f-a227-23baf0ec2a65
